居住地_省,居住地_市,就业地_省,就业地_市,count
浙江省,嘉兴市,江苏省,南京市,155
浙江省,宁波市,江苏省,南京市,277
安徽省,安庆市,江苏省,南京市,129
安徽省,宣城市,江苏省,南京市,766
安徽省,宿州市,江苏省,南京市,432
江苏省,宿迁市,江苏省,南京市,972
江苏省,常州市,江苏省,南京市,1119
江苏省,徐州市,江苏省,南京市,1134
江苏省,扬州市,江苏省,南京市,1628
江苏省,无锡市,江苏省,南京市,1150
浙江省,杭州市,江苏省,南京市,750
安徽省,池州市,江苏省,南京市,103
江苏省,泰州市,江苏省,南京市,749
安徽省,淮北市,江苏省,南京市,161
安徽省,淮南市,江苏省,南京市,106
江苏省,淮安市,江苏省,南京市,1395
浙江省,温州市,江苏省,南京市,138
浙江省,湖州市,江苏省,南京市,141
安徽省,滁州市,江苏省,南京市,2910
江苏省,盐城市,江苏省,南京市,731
浙江省,绍兴市,江苏省,南京市,95
浙江省,舟山市,江苏省,南京市,30
安徽省,芜湖市,江苏省,南京市,519
江苏省,苏州市,江苏省,南京市,1948
安徽省,蚌埠市,江苏省,南京市,323
浙江省,衢州市,江苏省,南京市,36
江苏省,连云港市,江苏省,南京市,453
浙江省,金华市,江苏省,南京市,151
安徽省,铜陵市,江苏省,南京市,88
江苏省,镇江市,江苏省,南京市,4215
安徽省,阜阳市,江苏省,南京市,260
安徽省,马鞍山市,江苏省,南京市,3637
安徽省,黄山市,江苏省,南京市,68
上海市,上海市,江苏省,南通市,3977
浙江省,丽水市,江苏省,南通市,11
安徽省,亳州市,江苏省,南通市,67
安徽省,六安市,江苏省,南通市,53
江苏省,南京市,江苏省,南通市,818
浙江省,台州市,江苏省,南通市,91
安徽省,合肥市,江苏省,南通市,115
浙江省,嘉兴市,江苏省,南通市,155
浙江省,宁波市,江苏省,南通市,175
安徽省,安庆市,江苏省,南通市,27
安徽省,宣城市,江苏省,南通市,33
安徽省,宿州市,江苏省,南通市,150
江苏省,宿迁市,江苏省,南通市,130
江苏省,常州市,江苏省,南通市,271
江苏省,徐州市,江苏省,南通市,241
江苏省,扬州市,江苏省,南通市,250
江苏省,无锡市,江苏省,南通市,671
浙江省,杭州市,江苏省,南通市,317
安徽省,池州市,江苏省,南通市,20
江苏省,泰州市,江苏省,南通市,730
安徽省,淮北市,江苏省,南通市,38
安徽省,淮南市,江苏省,南通市,23
江苏省,淮安市,江苏省,南通市,140
浙江省,温州市,江苏省,南通市,84
浙江省,湖州市,江苏省,南通市,92
安徽省,滁州市,江苏省,南通市,75
江苏省,盐城市,江苏省,南通市,920
浙江省,绍兴市,江苏省,南通市,102
浙江省,舟山市,江苏省,南通市,44
安徽省,芜湖市,江苏省,南通市,68
江苏省,苏州市,江苏省,南通市,2157
安徽省,蚌埠市,江苏省,南通市,91
浙江省,衢州市,江苏省,南通市,17
江苏省,连云港市,江苏省,南通市,162
浙江省,金华市,江苏省,南通市,87
安徽省,铜陵市,江苏省,南通市,14
江苏省,镇江市,江苏省,南通市,161
安徽省,阜阳市,江苏省,南通市,78
安徽省,马鞍山市,江苏省,南通市,32
安徽省,黄山市,江苏省,南通市,11
上海市,上海市,浙江省,台州市,1663
浙江省,丽水市,浙江省,台州市,215
安徽省,亳州市,浙江省,台州市,206
安徽省,六安市,浙江省,台州市,37
江苏省,南京市,浙江省,台州市,185
江苏省,南通市,浙江省,台州市,147
安徽省,合肥市,浙江省,台州市,141
浙江省,嘉兴市,浙江省,台州市,324
浙江省,宁波市,浙江省,台州市,1979
安徽省,安庆市,浙江省,台州市,44
安徽省,宣城市,浙江省,台州市,32
安徽省,宿州市,浙江省,台州市,179
